PID                 COMMAND
2178073             bash -lc set -euo pipefail unset AITER_REBUILD AITER_CONFIG_GEMM_BF16 AITER_CONFIG_FMOE AITER_CONFIG_GEMM_A8W8_BLOCKSCALE_BPRESHUFFLE ATOM_USE_TRITON_MOE rm -f /app/aiter-test/aiter/jit/module_top_k_per_row.so cd /app/ATOM HIP_VISIBLE_DEVICES=0,1,2,3 python -m atom.entrypoints.openai_server \ --model /data/DeepSeek-V4-Flash-FP8 --served-model-name DeepSeek-V3.2 \ --tensor-parallel-size 4 --method mtp --num-speculative-tokens 2 \ --kv-cache-dtype fp8 --max-model-len 131072 --gpu-memory-utilization 0.83 \ --max-num-batched-tokens 131072 --max-num-seqs 128 \ --cudagraph-capture-sizes "[1,2,4,8,16,24,32,48,64,128]" \ --no-enable-prefix-caching --host 127.0.0.1 --server-port 18000 \ > /work/logs/e004_18000_server.log 2>&1 & pid_a=$! for _ in $(seq 1 180); do curl -fsS --max-time 3 http://127.0.0.1:18000/v1/models >/dev/null && break kill -0 "$pid_a" 2>/dev/null || exit 31 sleep 3 done curl -fsS --max-time 3 http://127.0.0.1:18000/v1/models >/dev/null || exit 32 HIP_VISIBLE_DEVICES=4,5,6,7 python -m atom.entrypoints.openai_server \ --model /data/DeepSeek-V4-Flash-FP8 --served-model-name DeepSeek-V3.2 \ --tensor-parallel-size 4 --method mtp --num-speculative-tokens 2 \ --kv-cache-dtype fp8 --max-model-len 131072 --gpu-memory-utilization 0.83 \ --max-num-batched-tokens 131072 --max-num-seqs 128 \ --cudagraph-capture-sizes "[1,2,4,8,16,24,32,48,64,128]" \ --no-enable-prefix-caching --host 127.0.0.1 --server-port 18001 \ > /work/logs/e004_18001_server.log 2>&1 & pid_b=$! trap "kill $pid_a $pid_b 2>/dev/null || true; wait $pid_a $pid_b 2>/dev/null || true" TERM INT EXIT wait -n "$pid_a" "$pid_b"
2178089             python -m atom.entrypoints.openai_server --model /data/DeepSeek-V4-Flash-FP8 --served-model-name DeepSeek-V3.2 --tensor-parallel-size 4 --method mtp --num-speculative-tokens 2 --kv-cache-dtype fp8 --max-model-len 131072 --gpu-memory-utilization 0.83 --max-num-batched-tokens 131072 --max-num-seqs 128 --cudagraph-capture-sizes [1,2,4,8,16,24,32,48,64,128] --no-enable-prefix-caching --host 127.0.0.1 --server-port 18000
2178668             /opt/venv/bin/python -B -c from multiprocessing.resource_tracker import main;main(6)
2178669             ATOM::EngineCore
2178917             ATOM::TP0
2178918             ATOM::TP1
2178919             ATOM::TP2
2178920             ATOM::TP3
2197528             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=591 --read-fd=140 --write-fd=143 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2197530             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=592 --read-fd=118 --write-fd=121 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2197533             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=594 --read-fd=118 --write-fd=121 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2197600             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=593 --read-fd=118 --write-fd=121 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2200094             python -m atom.entrypoints.openai_server --model /data/DeepSeek-V4-Flash-FP8 --served-model-name DeepSeek-V3.2 --tensor-parallel-size 4 --method mtp --num-speculative-tokens 2 --kv-cache-dtype fp8 --max-model-len 131072 --gpu-memory-utilization 0.83 --max-num-batched-tokens 131072 --max-num-seqs 128 --cudagraph-capture-sizes [1,2,4,8,16,24,32,48,64,128] --no-enable-prefix-caching --host 127.0.0.1 --server-port 18001
2200653             /opt/venv/bin/python -B -c from multiprocessing.resource_tracker import main;main(6)
2200654             ATOM::EngineCore
2200899             ATOM::TP0
2200900             ATOM::TP1
2200901             ATOM::TP2
2200902             ATOM::TP3
2219380             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2219382             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20188 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2219447             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20185 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2219661             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20187 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
