gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,8,4096,4096,ck,0,0,43.1081,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,6.23,391.47,0.0
gfx942,304,8,4096,4096,cktile,0,0,52.4395,a8w8_blockscale_cktile_128x128x128_1x4x1_16x16x64_intrawave_0x1x0_1,5.12,321.81,0.0
gfx942,304,8,4096,4096,asm,0,1,15.725,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,17.07,1073.17,0.0
gfx942,304,8,4096,4096,ck,1,0,25.3819,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,10.58,664.86,0.0
gfx942,304,8,4096,4096,cktile,1,0,19.1491,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,14.02,881.27,0.0
gfx942,304,8,4096,4096,asm,1,1,16.1499,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,16.62,1044.93,0.0
gfx942,304,8,4096,4096,ck,2,0,22.9058,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,11.72,736.74,0.0
gfx942,304,8,4096,4096,cktile,2,0,125.6056,a8w8_blockscale_cktile_128x128x128_1x4x1_16x16x64_intrawave_0x1x0_2,2.14,134.35,0.0
gfx942,304,8,4096,4096,asm,2,1,16.3372,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,16.43,1032.95,0.0
gfx942,304,8,4096,4096,ck,3,0,21.6084,a8w8_blockscale_bpreshuffle_1x128x128_256x16x256x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,12.42,780.97,0.0
gfx942,304,8,4096,4096,cktile,3,0,52.3477,a8w8_blockscale_cktile_128x128x128_1x4x1_16x16x64_intrawave_0x1x0_3,5.13,322.37,0.0
gfx942,304,8,4096,4096,asm,3,1,17.5737,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,15.27,960.27,0.0
gfx942,304,8,4096,4096,ck,4,0,17.8456,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,15.04,945.64,0.0
gfx942,304,8,4096,4096,cktile,4,0,52.6576,a8w8_blockscale_cktile_128x128x128_1x4x1_16x16x64_intrawave_0x1x0_4,5.1,320.48,0.0
