4312:[aiter] shape is M:14, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4314:[aiter] shape is M:14, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4315:[aiter] shape is M:14, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4316:[aiter] shape is M:14, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4325:[aiter] shape is M:13, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4326:[aiter] shape is M:13, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4327:[aiter] shape is M:13, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4328:[aiter] shape is M:13, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4329:[aiter] shape is M:13, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4330:[aiter] shape is M:13, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4331:[aiter] shape is M:13, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4332:[aiter] shape is M:13, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4333:[aiter] shape is M:13, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4334:[aiter] shape is M:13, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4335:[aiter] shape is M:13, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4336:[aiter] shape is M:13, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4337:[aiter] shape is M:13, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4339:[aiter] shape is M:13, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4340:[aiter] shape is M:13, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4341:[aiter] shape is M:13, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4351:[aiter] shape is M:33, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4352:[aiter] shape is M:33, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4353:[aiter] shape is M:33, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4354:[aiter] shape is M:33, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4355:[aiter] shape is M:33, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4356:[aiter] shape is M:33, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4357:[aiter] shape is M:33, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4358:[aiter] shape is M:33, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4359:[aiter] shape is M:33, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4360:[aiter] shape is M:33, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4361:[aiter] shape is M:33, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4362:[aiter] shape is M:33, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4363:[aiter] shape is M:33, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4364:[aiter] shape is M:33, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4365:[aiter] shape is M:33, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4367:[aiter] shape is M:33, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4375:[aiter] shape is M:11, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4376:[aiter] shape is M:11, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4377:[aiter] shape is M:11, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4378:[aiter] shape is M:11, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4379:[aiter] shape is M:11, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4380:[aiter] shape is M:11, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4381:[aiter] shape is M:11, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4382:[aiter] shape is M:11, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4383:[aiter] shape is M:11, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4384:[aiter] shape is M:11, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4385:[aiter] shape is M:11, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4386:[aiter] shape is M:11, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4387:[aiter] shape is M:11, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4389:[aiter] shape is M:11, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4390:[aiter] shape is M:11, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4391:[aiter] shape is M:11, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4406:[aiter] shape is M:8, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4407:[aiter] shape is M:8, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4408:[aiter] shape is M:8, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4409:[aiter] shape is M:8, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4410:[aiter] shape is M:8, N:1536, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4411:[aiter] shape is M:8, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4412:[aiter] shape is M:8, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4413:[aiter] shape is M:8, N:8192, K:1024, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4414:[aiter] shape is M:8, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4416:[aiter] shape is M:8, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4417:[aiter] shape is M:8, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4418:[aiter] shape is M:8, N:4096, K:2048, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4427:[aiter] shape is M:28, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
4428:[aiter] shape is M:28, N:4096, K:4096, not found tuned config in /work/experiments/e046_bpreshuffle_tuned.csv, will use default config!
