knl_name,co_name,atm,vskip,smf,tg_num_perCU,ps,subGU_m,subGU_n
_ZN5aiter52fmoe_bf16_pertokenFp8_g1u1_vs_multix_silu_1tg_32x384E,fmoe_bf16_pertokenFp8_g1u1_vs_multix_silu_1tg_32x384.co,0,1,2,1,0,32,384
_ZN5aiter55fmoe_bf16_pertokenFp8_g1u1_vs_multix_silu_1tg_ps_32x384E,fmoe_bf16_pertokenFp8_g1u1_vs_multix_silu_1tg_ps_32x384.co,0,1,2,1,1,32,384
6:_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x256E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x256.co,0,1,0,1,1,32,256
7:_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x320.co,0,1,0,1,0,32,320
10:_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x192E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x192.co,0,1,0,1,0,32,192
12:_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x448E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x448.co,0,1,0,1,0,32,448
14:_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x512E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x512.co,0,1,0,1,0,32,512
16:_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x128E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x128.co,0,1,0,1,0,32,128
17:_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x192E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x192.co,0,1,0,1,1,32,192
18:_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x320E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x320.co,0,1,0,1,1,32,320
20:_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x128E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x128.co,0,1,0,1,1,32,128
21:_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x384E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x384.co,0,1,0,1,1,32,384
22:_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x256E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x256.co,0,1,0,1,0,32,256
23:_ZN5aiter45fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x384E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_32x384.co,0,1,0,1,0,32,384
26:_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x512E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x512.co,0,1,0,1,1,32,512
30:_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x448E,fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x448.co,0,1,0,1,1,32,448
