config=/tmp/aiter_configs/a8w8_blockscale_bpreshuffle_tuned_gemm.csv
gfx=gfx942
cu_num=304
3456 /tmp/aiter_configs/a8w8_blockscale_bpreshuffle_tuned_gemm.csv
gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,16,128,7168,asm,7,8,8.0571,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,3.64,0.12862,0.0063
gfx942,80,32,128,7168,asm,7,8,8.394,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,7.0,0.13761,0.0051
gfx942,80,48,128,7168,asm,7,8,8.4033,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,10.48,0.15159,0.0016
gfx942,80,64,128,7168,asm,7,8,8.4813,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,13.85,0.1642,0.0172
gfx942,80,80,128,7168,asm,7,8,8.4735,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,17.32,0.17837,0.0014
gfx942,80,96,128,7168,asm,7,8,8.5208,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,20.67,0.19132,0.0047
gfx942,80,112,128,7168,asm,7,8,8.5319,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,24.09,0.20499,0.0033
gfx942,80,128,128,7168,asm,7,8,8.521,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,27.56,0.2192,0.0119
gfx942,80,144,128,7168,asm,7,8,8.6312,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,30.61,0.23016,0.0096
gfx942,80,160,128,7168,asm,7,8,8.6426,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,33.97,0.2436,0.0078
gfx942,80,176,128,7168,asm,7,8,8.6266,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,37.44,0.25782,0.0008
gfx942,80,192,128,7168,asm,7,8,8.7605,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,40.22,0.26744,0.0091
gfx942,80,208,128,7168,asm,7,8,8.8638,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,43.06,0.27772,0.0007
gfx942,80,224,128,7168,asm,6,7,9.1649,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,44.85,0.28156,0.0091
gfx942,80,240,128,7168,asm,7,8,9.212,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,47.81,0.29302,0.0116
gfx942,80,256,128,7168,asm,7,8,9.6351,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,48.76,0.29248,0.0078
gfx942,80,288,128,7168,asm,7,8,9.458,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,55.88,0.32307,0.013
gfx942,80,320,128,7168,asm,7,8,9.5686,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,61.37,0.34417,0.0019
gfx942,80,352,128,7168,asm,6,7,10.284,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,62.81,0.34332,0.005
gfx942,80,384,128,7168,asm,15,8,10.7807,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,65.36,0.34954,0.0106
gfx942,80,416,128,7168,asm,15,8,10.5041,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,72.67,0.38136,0.0042
gfx942,80,448,128,7168,asm,15,8,10.5491,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,77.93,0.40226,0.0056
gfx942,80,480,128,7168,asm,15,8,10.718,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,82.18,0.41808,0.01
gfx942,80,512,128,7168,asm,14,7,11.1046,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,84.61,0.42492,0.0093
gfx942,80,544,128,7168,asm,23,8,11.8582,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,84.18,0.41795,0.0038
gfx942,80,576,128,7168,asm,23,8,12.066,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,87.6,0.43044,0.0058
gfx942,80,608,128,7168,asm,23,8,12.0352,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,92.7,0.45128,0.0094
gfx942,80,640,128,7168,asm,23,8,12.0049,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,97.83,0.47221,0.0069
