shape is M:1, N:1536, K:4096
shape is M:1, N:256, K:4096
shape is M:1, N:32320, K:4096
shape is M:1, N:4096, K:2048
shape is M:1, N:4096, K:4096
shape is M:1, N:8192, K:1024
shape is M:10, N:1024, K:4096
shape is M:10, N:1536, K:4096
shape is M:10, N:2048, K:4096
shape is M:10, N:256, K:4096
shape is M:10, N:4096, K:2048
shape is M:10, N:4096, K:4096
shape is M:10, N:512, K:4096
shape is M:10, N:64, K:4096
shape is M:10, N:8192, K:1024
shape is M:12, N:1024, K:4096
shape is M:12, N:1536, K:4096
shape is M:12, N:2048, K:4096
shape is M:12, N:256, K:4096
shape is M:12, N:4096, K:2048
shape is M:12, N:4096, K:4096
shape is M:12, N:512, K:4096
shape is M:12, N:64, K:4096
shape is M:12, N:8192, K:1024
shape is M:131072, N:256, K:4096
shape is M:131072, N:4096, K:4096
shape is M:144, N:1024, K:4096
shape is M:144, N:1536, K:4096
shape is M:144, N:2048, K:4096
shape is M:144, N:256, K:4096
shape is M:144, N:4096, K:2048
shape is M:144, N:512, K:4096
shape is M:144, N:64, K:4096
shape is M:144, N:8192, K:1024
shape is M:192, N:1024, K:4096
shape is M:192, N:1536, K:4096
shape is M:192, N:2048, K:4096
shape is M:192, N:256, K:4096
shape is M:192, N:4096, K:2048
shape is M:192, N:512, K:4096
shape is M:192, N:64, K:4096
shape is M:192, N:8192, K:1024
shape is M:24, N:1024, K:4096
shape is M:24, N:1536, K:4096
shape is M:24, N:2048, K:4096
shape is M:24, N:256, K:4096
shape is M:24, N:4096, K:2048
shape is M:24, N:512, K:4096
shape is M:24, N:64, K:4096
shape is M:24, N:8192, K:1024
shape is M:3, N:1024, K:4096
shape is M:3, N:2048, K:4096
shape is M:3, N:256, K:4096
shape is M:3, N:32320, K:4096
shape is M:3, N:4096, K:2048
shape is M:3, N:4096, K:4096
shape is M:3, N:512, K:4096
shape is M:3, N:64, K:4096
shape is M:3, N:8192, K:1024
shape is M:384, N:1024, K:4096
shape is M:384, N:1536, K:4096
shape is M:384, N:2048, K:4096
shape is M:384, N:256, K:4096
shape is M:384, N:4096, K:2048
shape is M:384, N:512, K:4096
shape is M:384, N:64, K:4096
shape is M:384, N:8192, K:1024
shape is M:4, N:4096, K:4096
shape is M:40, N:4096, K:4096
shape is M:48, N:1024, K:4096
shape is M:48, N:1536, K:4096
shape is M:48, N:2048, K:4096
shape is M:48, N:256, K:4096
shape is M:48, N:4096, K:2048
shape is M:48, N:512, K:4096
shape is M:48, N:64, K:4096
shape is M:48, N:8192, K:1024
shape is M:524288, N:4096, K:4096
shape is M:6, N:1024, K:4096
shape is M:6, N:1536, K:4096
shape is M:6, N:2048, K:4096
shape is M:6, N:256, K:4096
shape is M:6, N:4096, K:2048
shape is M:6, N:512, K:4096
shape is M:6, N:64, K:4096
shape is M:6, N:8192, K:1024
shape is M:72, N:1024, K:4096
shape is M:72, N:1536, K:4096
shape is M:72, N:2048, K:4096
shape is M:72, N:256, K:4096
shape is M:72, N:4096, K:2048
shape is M:72, N:512, K:4096
shape is M:72, N:64, K:4096
shape is M:72, N:8192, K:1024
shape is M:96, N:1024, K:4096
shape is M:96, N:1536, K:4096
shape is M:96, N:2048, K:4096
shape is M:96, N:256, K:4096
shape is M:96, N:4096, K:2048
shape is M:96, N:512, K:4096
shape is M:96, N:64, K:4096
shape is M:96, N:8192, K:1024
