      8 M:96, N:8192, K:1024
      8 M:96, N:64, K:4096
      8 M:96, N:512, K:4096
      8 M:96, N:4096, K:2048
      8 M:96, N:256, K:4096
      8 M:96, N:2048, K:4096
      8 M:96, N:1536, K:4096
      8 M:96, N:1024, K:4096
      8 M:72, N:8192, K:1024
      8 M:72, N:64, K:4096
      8 M:72, N:512, K:4096
      8 M:72, N:4096, K:2048
      8 M:72, N:256, K:4096
      8 M:72, N:2048, K:4096
      8 M:72, N:1536, K:4096
      8 M:72, N:1024, K:4096
      8 M:6, N:64, K:4096
      8 M:6, N:512, K:4096
      8 M:6, N:256, K:4096
      8 M:6, N:2048, K:4096
      8 M:6, N:1024, K:4096
      8 M:524288, N:4096, K:4096
      8 M:48, N:8192, K:1024
      8 M:48, N:64, K:4096
      8 M:48, N:512, K:4096
      8 M:48, N:4096, K:2048
      8 M:48, N:256, K:4096
      8 M:48, N:2048, K:4096
      8 M:48, N:1536, K:4096
      8 M:48, N:1024, K:4096
      8 M:4, N:4096, K:4096
      8 M:384, N:8192, K:1024
      8 M:384, N:64, K:4096
      8 M:384, N:512, K:4096
      8 M:384, N:4096, K:2048
      8 M:384, N:256, K:4096
      8 M:384, N:2048, K:4096
      8 M:384, N:1536, K:4096
      8 M:384, N:1024, K:4096
      8 M:3, N:64, K:4096
      8 M:3, N:512, K:4096
      8 M:3, N:256, K:4096
      8 M:3, N:2048, K:4096
      8 M:3, N:1024, K:4096
      8 M:24, N:8192, K:1024
      8 M:24, N:64, K:4096
      8 M:24, N:512, K:4096
      8 M:24, N:4096, K:2048
      8 M:24, N:256, K:4096
      8 M:24, N:2048, K:4096
      8 M:24, N:1536, K:4096
      8 M:24, N:1024, K:4096
      8 M:192, N:8192, K:1024
      8 M:192, N:64, K:4096
      8 M:192, N:512, K:4096
      8 M:192, N:4096, K:2048
      8 M:192, N:256, K:4096
      8 M:192, N:2048, K:4096
      8 M:192, N:1536, K:4096
      8 M:192, N:1024, K:4096
      8 M:144, N:8192, K:1024
      8 M:144, N:64, K:4096
      8 M:144, N:512, K:4096
      8 M:144, N:4096, K:2048
      8 M:144, N:256, K:4096
      8 M:144, N:2048, K:4096
      8 M:144, N:1536, K:4096
      8 M:144, N:1024, K:4096
      8 M:131072, N:4096, K:4096
      8 M:131072, N:256, K:4096
      8 M:12, N:8192, K:1024
      8 M:12, N:64, K:4096
      8 M:12, N:512, K:4096
      8 M:12, N:4096, K:2048
      8 M:12, N:256, K:4096
      8 M:12, N:2048, K:4096
      8 M:12, N:1536, K:4096
      8 M:12, N:1024, K:4096
      8 M:1, N:32320, K:4096
      8 M:1, N:256, K:4096
      4 M:5, N:8192, K:1024
      4 M:5, N:64, K:4096
      4 M:5, N:512, K:4096
      4 M:5, N:4096, K:4096
      4 M:5, N:4096, K:2048
      4 M:5, N:256, K:4096
      4 M:5, N:2048, K:4096
      4 M:5, N:1536, K:4096
      4 M:5, N:1024, K:4096
      4 M:3, N:32320, K:4096
      4 M:20, N:4096, K:4096
      4 M:12, N:4096, K:4096
