T,H,D,kv_len,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
1,16,512,136,1,1,0.0009765625,6.022484740242362e-05,29.12399941124022,28.83400011342019,31.446001958101988
1,16,512,136,2,1,0.0009765625,5.7384771935176104e-05,51.4839484822005,49.525449867360294,58.51949972566217
1,16,512,136,4,1,0.00048828125,5.612268432741985e-05,51.24449962750077,51.12549988552928,60.4015018325299
1,16,512,136,8,1,0.0009765625,5.6375905842287466e-05,52.38500016275793,50.67400052212179,55.4095022380352
1,16,512,136,16,1,0.00048828125,5.417900683823973e-05,52.79500037431717,50.505949184298515,56.687998585402966
1,16,512,388,1,1,0.00048828125,3.655134787550196e-05,56.66399956680834,56.42699834425002,56.84249917976558
1,16,512,388,2,1,0.00048828125,3.461176675045863e-05,51.62245070096105,51.11950158607215,52.24799970164895
1,16,512,388,4,1,0.00048828125,3.4561460779514164e-05,50.819499301724136,50.59450049884617,51.448450540192425
1,16,512,388,8,1,0.00048828125,3.3786061976570636e-05,51.49749922566116,51.06245225761086,51.618998986668885
1,16,512,388,16,1,0.00048828125,3.396437386982143e-05,51.14049999974668,50.77300011180341,51.33745144121349
1,16,512,1024,1,1,0.000244140625,2.3424367100233212e-05,134.42545023281127,134.3519485089928,135.22144872695208
1,16,512,1024,2,1,0.000244140625,2.3510147002525628e-05,73.96595028694719,73.36950220633298,82.21699972636998
1,16,512,1024,4,1,0.000244140625,2.326819048903417e-05,52.6924995938316,51.38349952176213,62.1015002252534
1,16,512,1024,8,1,0.000244140625,2.2725511371390894e-05,52.159500773996115,50.724000902846456,55.75199902523309
1,16,512,1024,16,1,0.000244140625,2.1978299628244713e-05,52.25350032560527,51.703499048016965,56.68149970006198
16,16,512,136,1,1,0.0009765625,5.767709080828354e-05,29.1265023406595,28.544501401484013,30.333950417116284
16,16,512,136,2,1,0.0009765625,5.622121170745231e-05,50.95544911455363,50.376998842693865,51.81900050956756
16,16,512,136,4,1,0.0009765625,5.552760558202863e-05,50.57599919382483,50.422450294718146,51.60850123502314
