T,H,D,kv_len,variant,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
1,16,512,136,default,16,1,0.00048828125,5.417900683823973e-05,53.62550145946443,50.7794989971444,57.273448328487575
1,16,512,136,candidate,1,1,0.0009765625,6.022484740242362e-05,28.881500475108624,28.648998704738915,30.204450013116002
1,16,512,320,default,32,1,0.00048828125,3.6243269278202206e-05,51.49250209797174,50.89049809612334,54.847451974637806
1,16,512,320,candidate,1,1,0.00048828125,4.0062193875201046e-05,46.46549932658672,46.35845252778381,47.131950850598514
1,16,512,388,default,32,1,0.00048828125,3.230541915399954e-05,53.37545007932931,51.66300106793642,57.10400000680238
1,16,512,388,candidate,4,1,0.00048828125,3.4561460779514164e-05,51.648999215103686,51.47649790160358,52.520501776598394
1,16,512,512,default,32,1,0.00048828125,2.7948450224357657e-05,51.15850071888417,50.87199970148504,52.580999908968806
1,16,512,512,candidate,4,1,0.000244140625,3.133695281576365e-05,51.12644867040217,50.80050032120198,51.60649889148772
1,16,512,768,default,64,1,0.00048828125,2.380343539698515e-05,51.213501137681305,50.85695011075586,52.391950157471
1,16,512,768,candidate,16,1,0.00048828125,2.4988379664137028e-05,50.840500625781715,50.62650016043335,51.4054496306926
1,16,512,1024,default,64,1,0.000244140625,2.1517496861633845e-05,52.02250031288713,51.0204496094957,52.51250113360584
1,16,512,1024,candidate,16,1,0.000244140625,2.1978299628244713e-05,51.91149830352515,51.008499576710165,51.98050057515502
1,16,512,2048,default,128,1,0.000244140625,1.587122824275866e-05,51.16499960422516,50.958950305357575,53.16144961398095
1,16,512,2048,candidate,32,1,0.000244140625,1.647650424274616e-05,51.54449900146574,51.29649944137782,52.31800023466349
1,16,512,4096,default,256,1,0.000244140625,1.2303326002438553e-05,52.08245129324496,51.6950007295236,53.63695090636611
1,16,512,4096,candidate,64,1,0.000244140625,1.251423054782208e-05,51.22550064697862,51.11694918014109,52.20400053076446
1,16,512,8192,default,256,1,0.0001220703125,9.836845492827706e-06,53.05999948177487,52.37400182522833,53.94099862314761
1,16,512,8192,candidate,128,1,0.0001220703125,9.919998774421401e-06,51.830499432981014,51.42049922142178,52.07450012676418
2,16,512,136,default,32,1,0.0009765625,5.413177132140845e-05,51.10744968988001,50.84000003989786,52.81644989736378
2,16,512,136,candidate,1,1,0.0009765625,5.8014724345412105e-05,28.64649868570268,28.475999715738,29.364999500103295
2,16,512,320,default,64,1,0.00048828125,3.5435637983027846e-05,51.25044845044613,50.70650076959282,52.51649999991059
2,16,512,320,candidate,1,1,0.00048828125,3.940737951779738e-05,46.70549824368209,46.69199988711625,47.11149958893657
2,16,512,388,default,64,1,0.00048828125,3.248041321057826e-05,52.597999456338584,50.651447963900864,55.98000134341419
2,16,512,388,candidate,4,1,0.00048828125,3.424580063438043e-05,51.4000013936311,50.89194746688008,51.68649950064719
2,16,512,512,default,64,1,0.00048828125,2.8845135602750815e-05,52.00850137043744,51.0184996528551,52.31545073911548
2,16,512,512,candidate,4,1,0.00048828125,3.07930531562306e-05,51.16450192872435,51.0654499521479,51.65350157767534
2,16,512,768,default,128,1,0.00048828125,2.3908914954517968e-05,51.15595122333616,50.82800053060055,52.35344870015979
2,16,512,768,candidate,16,1,0.00048828125,2.463397140672896e-05,50.734999240376055,50.67845049779862,51.041500410065055
2,16,512,1024,default,128,1,0.000244140625,2.1284831746015698e-05,51.26000032760203,50.884002121165395,52.601497736759484
2,16,512,1024,candidate,16,1,0.000244140625,2.217075598309748e-05,51.06899770908058,50.6989483255893,51.707998500205576
2,16,512,2048,default,128,1,0.000244140625,1.570400854689069e-05,51.21750000398606,50.96194799989462,52.23494954407215
2,16,512,2048,candidate,32,1,0.000244140625,1.632733801670838e-05,51.17800028529018,50.467500113882124,51.59745051059872
2,16,512,4096,default,128,1,0.0001220703125,1.236678690474946e-05,51.6275002155453,50.66700105089694,52.02599859330803
2,16,512,4096,candidate,64,1,0.000244140625,1.2692906238953583e-05,51.13994993735105,51.0369980474934,52.321498515084386
2,16,512,8192,default,128,1,0.0001220703125,9.740611858433113e-06,51.064000581391156,50.52994820289314,52.62094782665372
2,16,512,8192,candidate,128,1,0.0001220703125,9.740611858433113e-06,51.40200082678348,51.26094911247492,51.98300059419125
4,16,512,136,default,64,1,0.0009765625,5.412460450315848e-05,51.526501192711294,50.67049933131784,51.987500046379864
4,16,512,136,candidate,1,1,0.0009765625,5.84294757572934e-05,29.064499540254474,28.623497928492725,29.245999758131802
4,16,512,320,default,64,1,0.00048828125,3.51351554854773e-05,51.27199983689934,50.69399776402861,52.275447524152696
4,16,512,320,candidate,1,1,0.00048828125,3.946469951188192e-05,46.812999062240124,46.70149937737733,46.94394883699715
4,16,512,388,default,64,1,0.00048828125,3.2601310522295535e-05,51.07550241518766,50.59200047980994,52.37600125838071
4,16,512,388,candidate,4,1,0.00048828125,3.508440568111837e-05,51.192002138122916,50.65650038886815,51.662951591424644
4,16,512,512,default,64,1,0.00048828125,2.8885624487884343e-05,50.70750194136053,50.07745057810098,51.44749884493649
4,16,512,512,candidate,4,1,0.00048828125,3.069105150643736e-05,50.74900109320879,50.289498176425695,51.085499580949545
4,16,512,768,default,64,1,0.00048828125,2.368529931118246e-05,51.60750006325543,51.21649883221835,52.23749903962016
4,16,512,768,candidate,16,1,0.00048828125,2.4525050321244635e-05,51.56549741514027,50.78100075479597,51.86194903217256
4,16,512,1024,default,64,1,0.000244140625,2.108028274960816e-05,51.08499899506569,50.824947538785636,52.094500279054046
4,16,512,1024,candidate,16,1,0.000244140625,2.2080719645600766e-05,51.25695024617016,50.88249745313078,51.702497876249254
4,16,512,2048,default,64,1,0.000244140625,1.5645164239685982e-05,51.369998254813254,51.236452418379486,52.43245104793459
4,16,512,2048,candidate,32,1,0.000244140625,1.601829171704594e-05,51.52494995854795,51.242500194348395,52.2609509062022
4,16,512,4096,default,64,1,0.000244140625,1.23144309327472e-05,51.914999494329095,51.7584994668141,52.50000103842467
4,16,512,4096,candidate,64,1,0.000244140625,1.23144309327472e-05,51.710000843741,51.479999092407525,51.963498117402196
4,16,512,8192,default,64,1,0.0001220703125,9.892939488054253e-06,52.034997497685254,51.286950474604964,53.51945001166314
4,16,512,8192,candidate,128,1,0.0001220703125,9.776467777555808e-06,52.38099838607013,51.864501438103616,52.91945126373321
8,16,512,136,default,32,1,0.0009765625,5.298122050589882e-05,51.698999595828354,51.23250011820346,52.528950618579984
8,16,512,136,candidate,1,1,0.0009765625,5.812437302665785e-05,28.868502704426646,28.562001534737647,29.35350057668984
8,16,512,320,default,32,1,0.00048828125,3.566622035577893e-05,51.856000209227204,51.37450061738491,53.24999801814556
8,16,512,320,candidate,1,1,0.00048828125,3.8955462514422834e-05,46.77700053434819,46.5534976683557,47.10500070359558
8,16,512,388,default,32,1,0.00048828125,3.257206844864413e-05,51.558949053287506,51.34999810252339,52.30800015851855
8,16,512,388,candidate,4,1,0.00048828125,3.478392318356782e-05,50.81249983049929,50.69900071248412,51.3494509505108
8,16,512,512,default,32,1,0.00048828125,2.869223135348875e-05,51.614499534480274,51.342949154786766,53.7444488145411
8,16,512,512,candidate,4,1,0.00048828125,3.0927592888474464e-05,51.18349799886346,50.833949353545904,51.868450827896595
8,16,512,768,default,32,1,0.00048828125,2.4323257093783468e-05,51.53900128789246,51.0334997670725,51.96399870328605
8,16,512,768,candidate,16,1,0.00048828125,2.463694181642495e-05,51.65250040590763,51.250451360829175,52.020500879734755
8,16,512,1024,default,32,1,0.000244140625,2.133457201125566e-05,51.48345080669969,50.92700012028217,52.307950682006776
8,16,512,1024,candidate,16,1,0.000244140625,2.1940482838544995e-05,51.28245102241635,51.104449084959924,51.87650094740093
8,16,512,2048,default,32,1,0.000244140625,1.6165984561666846e-05,51.40495195519179,50.72499916423112,52.1169975399971
8,16,512,2048,candidate,32,1,0.000244140625,1.6165984561666846e-05,51.22050060890615,50.98195106256753,51.933000213466585
8,16,512,4096,default,32,1,0.000244140625,1.2675114703597501e-05,51.73349927645177,51.37299885973334,52.22395120654255
8,16,512,4096,candidate,64,1,0.000244140625,1.2368517673166934e-05,51.399951917119324,50.763998297043145,52.191998111084104
8,16,512,8192,default,32,1,0.000244140625,1.0091885087604169e-05,52.48200031928718,51.99299775995314,54.42700057756156
