T,H,D,kv_len,variant,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
1,16,512,136,default,16,1,0.00048828125,5.417900683823973e-05,52.4315022630617,48.79045009147376,54.882001131772995
1,16,512,136,candidate,1,1,0.0009765625,6.022484740242362e-05,27.70200080703944,27.586950454860926,29.170000925660133
1,16,512,320,default,32,1,0.00048828125,3.6243269278202206e-05,49.313498311676085,49.19244966004044,52.916002459824085
1,16,512,320,candidate,1,1,0.00048828125,4.0062193875201046e-05,46.33399948943406,46.26449954230338,46.53500218410045
1,16,512,388,default,32,1,0.00048828125,3.230541915399954e-05,49.642499652691185,49.26295077893883,50.55099900346249
1,16,512,388,candidate,32,1,0.00048828125,3.230541915399954e-05,49.54150062985718,49.36300101689994,50.21195102017373
1,16,512,512,default,32,1,0.00048828125,2.7948450224357657e-05,49.840001156553626,49.34750031679869,50.62400014139712
1,16,512,512,candidate,32,1,0.00048828125,2.7948450224357657e-05,49.28600101266056,49.20149804092944,50.09044834878296
1,16,512,768,default,64,1,0.00048828125,2.380343539698515e-05,49.01649954263121,48.66849922109395,50.523498794063926
1,16,512,768,candidate,64,1,0.00048828125,2.380343539698515e-05,49.211998702958226,48.764998791739345,49.28144917357713
1,16,512,1024,default,64,1,0.000244140625,2.1517496861633845e-05,49.13500160910189,48.97894978057593,50.02749967388809
1,16,512,1024,candidate,64,1,0.000244140625,2.1517496861633845e-05,49.12999866064638,49.06044923700392,49.59299985785037
1,16,512,2048,default,128,1,0.000244140625,1.587122824275866e-05,49.359499826096,49.23350061289966,50.774950068444014
1,16,512,2048,candidate,128,1,0.000244140625,1.587122824275866e-05,49.237499479204416,48.933952348306775,50.14099879190326
1,16,512,4096,default,256,1,0.000244140625,1.2303326002438553e-05,50.654500955715775,50.292949890717864,51.697948947548866
1,16,512,4096,candidate,256,1,0.000244140625,1.2303326002438553e-05,50.92795181553811,50.45150173828006,51.374451140873134
1,16,512,8192,default,256,1,0.0001220703125,9.836845492827706e-06,50.69049948360771,50.43249984737486,51.51249933987856
1,16,512,8192,candidate,256,1,0.0001220703125,9.836845492827706e-06,50.56099907960743,50.200498662889004,51.27800104673952
2,16,512,136,default,32,1,0.0009765625,5.413177132140845e-05,49.349499749951065,49.03844965156168,49.88950095139444
2,16,512,136,candidate,1,1,0.0009765625,5.8014724345412105e-05,28.088499675504863,27.819498791359365,28.529949486255646
2,16,512,320,default,64,1,0.00048828125,3.5435637983027846e-05,49.465999472886324,49.361950368620455,50.28444866184145
2,16,512,320,candidate,1,1,0.00048828125,3.940737951779738e-05,46.297998051159084,46.24550056178123,46.444998588413
2,16,512,388,default,64,1,0.00048828125,3.248041321057826e-05,49.391950597055256,48.86650131084025,50.621500122360885
2,16,512,388,candidate,64,1,0.00048828125,3.248041321057826e-05,49.32250012643635,49.22600055579096,50.065500545315444
2,16,512,512,default,64,1,0.00048828125,2.8845135602750815e-05,49.470950034447014,49.02549844700843,50.33499910496175
2,16,512,512,candidate,64,1,0.00048828125,2.8845135602750815e-05,49.12650038022548,49.02099899481982,49.69850124325603
2,16,512,768,default,128,1,0.00048828125,2.3908914954517968e-05,49.649999709799886,49.38750062137842,50.56149966549128
2,16,512,768,candidate,128,1,0.00048828125,2.3908914954517968e-05,49.3744999403134,49.288448644801974,50.059499335475266
2,16,512,1024,default,128,1,0.000244140625,2.1284831746015698e-05,49.18750200886279,48.764501116238534,50.242000725120306
2,16,512,1024,candidate,128,1,0.000244140625,2.1284831746015698e-05,49.3294995976612,48.89800038654357,49.40750077366829
2,16,512,2048,default,128,1,0.000244140625,1.570400854689069e-05,49.80950034223497,49.451450468041,50.739001017063856
2,16,512,2048,candidate,128,1,0.000244140625,1.570400854689069e-05,49.597499310038984,49.35500037390739,50.19699747208506
2,16,512,4096,default,128,1,0.0001220703125,1.236678690474946e-05,49.46150002069771,49.200450303032994,51.14244995638728
2,16,512,4096,candidate,128,1,0.0001220703125,1.236678690474946e-05,49.50849979650229,48.95100137218833,49.58844801876694
2,16,512,8192,default,128,1,0.0001220703125,9.740611858433113e-06,49.54100004397333,49.31650182697922,50.24550191592425
2,16,512,8192,candidate,128,1,0.0001220703125,9.740611858433113e-06,49.583998043090105,49.29699935019016,50.40349788032472
4,16,512,136,default,64,1,0.0009765625,5.412460450315848e-05,49.43199746776372,49.21249928884208,50.44800054747611
4,16,512,136,candidate,1,1,0.0009765625,5.84294757572934e-05,28.26495037879795,27.866000891663134,28.45649723894894
4,16,512,320,default,64,1,0.00048828125,3.51351554854773e-05,49.586998648010194,49.251498421654105,50.08995067328215
4,16,512,320,candidate,1,1,0.00048828125,3.946469951188192e-05,46.43295251298696,46.327500604093075,46.44199798349291
4,16,512,388,default,64,1,0.00048828125,3.2601310522295535e-05,49.47249835822731,49.382500583305955,50.24599959142506
4,16,512,388,candidate,64,1,0.00048828125,3.2601310522295535e-05,49.27800036966801,48.925497685559094,49.647450214251876
4,16,512,512,default,64,1,0.00048828125,2.8885624487884343e-05,49.17444894090295,49.024500185623765,49.93495240341872
4,16,512,512,candidate,64,1,0.00048828125,2.8885624487884343e-05,49.04000088572502,48.88744733761996,49.76149939466268
4,16,512,768,default,64,1,0.00048828125,2.368529931118246e-05,49.684999976307154,49.35750039294362,50.379501772113144
4,16,512,768,candidate,64,1,0.00048828125,2.368529931118246e-05,49.503002082929015,49.35849865432829,50.02844845876098
4,16,512,1024,default,64,1,0.000244140625,2.108028274960816e-05,49.21045037917793,49.086997751146555,50.171499606221914
4,16,512,1024,candidate,64,1,0.000244140625,2.108028274960816e-05,49.17600017506629,48.787498963065445,49.27800036966801
4,16,512,2048,default,64,1,0.000244140625,1.5645164239685982e-05,49.73250033799559,49.18750200886279,50.595999346114695
4,16,512,2048,candidate,64,1,0.000244140625,1.5645164239685982e-05,49.36199984513223,49.05749810859561,49.737951485440135
4,16,512,4096,default,64,1,0.000244140625,1.23144309327472e-05,49.88650034647435,49.29395217914134,50.041000940836966
4,16,512,4096,candidate,64,1,0.000244140625,1.23144309327472e-05,49.425452016294,49.08150003757328,49.83200051356107
4,16,512,8192,default,64,1,0.0001220703125,9.892939488054253e-06,49.81899983249605,49.55145122949034,51.124501624144614
4,16,512,8192,candidate,64,1,0.0001220703125,9.892939488054253e-06,49.64394902344793,49.55900076311082,50.66450103186071
8,16,512,136,default,32,1,0.0009765625,5.298122050589882e-05,49.34694734402001,48.923498252406716,49.99099764972925
8,16,512,136,candidate,1,1,0.0009765625,5.812437302665785e-05,28.1400018138811,27.883448638021946,28.214999474585056
8,16,512,320,default,32,1,0.00048828125,3.566622035577893e-05,49.33949967380613,48.941001296043396,50.7610006025061
8,16,512,320,candidate,1,1,0.00048828125,3.8955462514422834e-05,46.460001613013446,46.42544954549521,46.66199965868145
8,16,512,388,default,32,1,0.00048828125,3.257206844864413e-05,49.33949967380613,48.88694966211915,49.96694915462285
8,16,512,388,candidate,32,1,0.00048828125,3.257206844864413e-05,48.87795075774193,48.627000069245696,49.0454985992983
8,16,512,512,default,32,1,0.00048828125,2.869223135348875e-05,49.15344761684537,49.04899979010224,51.428002188913524
8,16,512,512,candidate,32,1,0.00048828125,2.869223135348875e-05,49.04450033791363,48.980998690240085,49.62050006724894
8,16,512,768,default,32,1,0.00048828125,2.4323257093783468e-05,49.20999926980585,48.99544874206185,49.63644896633923
8,16,512,768,candidate,32,1,0.00048828125,2.4323257093783468e-05,49.013999523594975,48.91399876214564,49.32300071232021
