PID                 PPID                COMMAND
2717851             2717827             bash -lc set -euo pipefail unset AITER_REBUILD AITER_CONFIG_GEMM_BF16 AITER_CONFIG_FMOE AITER_CONFIG_GEMM_A8W8_BLOCKSCALE_BPRESHUFFLE ATOM_USE_TRITON_MOE export AITER_CONFIG_GEMM_A8W8_BLOCKSCALE_BPRESHUFFLE=/work/experiments/e077_bpreshuffle_18row_overlay.csv rm -f /app/aiter-test/aiter/jit/module_top_k_per_row.so cd /app/ATOM HIP_VISIBLE_DEVICES=0,1,2,3 python -m atom.entrypoints.openai_server \ --model /data/DeepSeek-V4-Flash-FP8 --served-model-name DeepSeek-V3.2 \ --tensor-parallel-size 4 --method mtp --num-speculative-tokens 2 \ --kv-cache-dtype fp8 --max-model-len 131072 --gpu-memory-utilization 0.83 \ --max-num-batched-tokens 131072 --max-num-seqs 96 \ --cudagraph-capture-sizes "[1,2,4,8,16,24,32,48,64,72,96,128]" \ --no-enable-prefix-caching --host 127.0.0.1 --server-port 18000 \ > /work/logs/e004_18000_server.log 2>&1 & pid_a=$! for _ in $(seq 1 180); do curl -fsS --max-time 3 http://127.0.0.1:18000/v1/models >/dev/null && break kill -0 "$pid_a" 2>/dev/null || exit 31 sleep 3 done curl -fsS --max-time 3 http://127.0.0.1:18000/v1/models >/dev/null || exit 32 HIP_VISIBLE_DEVICES=4,5,6,7 python -m atom.entrypoints.openai_server \ --model /data/DeepSeek-V4-Flash-FP8 --served-model-name DeepSeek-V3.2 \ --tensor-parallel-size 4 --method mtp --num-speculative-tokens 2 \ --kv-cache-dtype fp8 --max-model-len 131072 --gpu-memory-utilization 0.83 \ --max-num-batched-tokens 131072 --max-num-seqs 96 \ --cudagraph-capture-sizes "[1,2,4,8,16,24,32,48,64,72,96,128]" \ --no-enable-prefix-caching --host 127.0.0.1 --server-port 18001 \ > /work/logs/e004_18001_server.log 2>&1 & pid_b=$! trap "kill $pid_a $pid_b 2>/dev/null || true; wait $pid_a $pid_b 2>/dev/null || true" TERM INT EXIT wait -n "$pid_a" "$pid_b"
2717870             2717851             python -m atom.entrypoints.openai_server --model /data/DeepSeek-V4-Flash-FP8 --served-model-name DeepSeek-V3.2 --tensor-parallel-size 4 --method mtp --num-speculative-tokens 2 --kv-cache-dtype fp8 --max-model-len 131072 --gpu-memory-utilization 0.83 --max-num-batched-tokens 131072 --max-num-seqs 96 --cudagraph-capture-sizes [1,2,4,8,16,24,32,48,64,72,96,128] --no-enable-prefix-caching --host 127.0.0.1 --server-port 18000
2718443             2717870             /opt/venv/bin/python -B -c from multiprocessing.resource_tracker import main;main(6)
2718444             2717870             ATOM::EngineCore
2718688             2718444             ATOM::TP0
2718689             2718444             ATOM::TP1
2718690             2718444             ATOM::TP2
2718691             2718444             ATOM::TP3
2737279             2718688             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=592 --read-fd=140 --write-fd=143 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2737281             2718689             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=593 --read-fd=118 --write-fd=121 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2737427             2718691             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=595 --read-fd=118 --write-fd=121 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2737495             2718690             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=594 --read-fd=118 --write-fd=121 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2739815             2717851             python -m atom.entrypoints.openai_server --model /data/DeepSeek-V4-Flash-FP8 --served-model-name DeepSeek-V3.2 --tensor-parallel-size 4 --method mtp --num-speculative-tokens 2 --kv-cache-dtype fp8 --max-model-len 131072 --gpu-memory-utilization 0.83 --max-num-batched-tokens 131072 --max-num-seqs 96 --cudagraph-capture-sizes [1,2,4,8,16,24,32,48,64,72,96,128] --no-enable-prefix-caching --host 127.0.0.1 --server-port 18001
2740377             2739815             /opt/venv/bin/python -B -c from multiprocessing.resource_tracker import main;main(6)
2740378             2739815             ATOM::EngineCore
2740619             2740378             ATOM::TP0
2740620             2740378             ATOM::TP1
2740621             2740378             ATOM::TP2
2740622             2740378             ATOM::TP3
2759123             2740622             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759125             2740619             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759127             2740621             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20188 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759192             2740620             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20187 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759508             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759510             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759512             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759514             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759516             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759518             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759520             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759522             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759524             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759526             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759528             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759530             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759532             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759534             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759536             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759538             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759540             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759542             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759544             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759546             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759548             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759550             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759552             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759554             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759556             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759558             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759560             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759562             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759564             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759566             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759568             2759123             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20189 --read-fd=119 --write-fd=122 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
