gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx942,304,24,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,32,0,188.0077,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_32x256E,0.0%,0.0,,0.0%,188.0077,1,0,0,11.24,8601.77
gfx942,304,24,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,64,0,204.0469,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_64x256E,0.0%,0.0,,0.0%,204.0469,1,0,0,10.36,7925.62
gfx942,304,48,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,32,0,319.1372,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256E,0.0%,0.0,,0.0%,319.1372,1,0,0,13.25,5068.33
gfx942,304,48,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,64,0,351.3782,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_64x256E,0.0%,0.0,,0.0%,351.3782,1,0,0,12.03,4603.29
gfx942,304,70,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,32,0,353.3196,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256E,0.0%,0.0,,0.0%,353.3196,1,0,0,17.45,4578.76
gfx942,304,70,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,64,0,385.6408,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_64x256E,0.0%,0.0,,0.0%,385.6408,1,0,0,15.99,4195.0
gfx942,304,96,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,32,0,386.3708,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_32x256E,0.0%,0.0,,0.0%,386.3708,1,0,0,21.88,4187.9
gfx942,304,96,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,64,0,413.0179,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_64x256E,0.0%,0.0,,0.0%,413.0179,1,0,0,20.47,3917.71
gfx942,304,128,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,32,0,408.271,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256E,0.0%,0.0,,0.0%,408.271,1,0,0,27.61,3964.22
gfx942,304,128,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,64,0,435.4525,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_64x256E,0.0%,0.0,,0.0%,435.4525,1,0,0,25.89,3716.77
gfx942,304,6100,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,64,0,1045.4848,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,1045.4848,1,0,0,513.92,1618.25
gfx942,304,6100,4096,512,257,7,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,True,False,32,0,1655.7826,_ZN5aiter49fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_32x128E,0.0%,0.0,,0.0%,1655.7826,1,0,0,324.49,1021.79
