gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,1536,4096,ck,7,0,8.0388,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.57,783.53,0.0
gfx942,304,3,1536,4096,ck,7,0,8.4768,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.45,744.73,0.0
gfx942,304,1,8192,1024,ck,7,0,4.8116,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.49,1747.03,0.0
gfx942,304,1,4096,4096,asm,1,1,12.569,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,2.67,1335.79,0.0
gfx942,304,3,4096,4096,asm,0,1,14.5588,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,6.91,1154.91,0.0
gfx942,304,3,8192,1024,asm,0,1,6.5853,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,7.64,1281.77,0.0
gfx942,304,6,1536,4096,asm,0,1,12.2284,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,6.17,518.01,0.0
gfx942,304,6,8192,1024,asm,1,1,6.2957,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,15.99,1349.02,0.0
gfx942,304,6,4096,2048,asm,0,1,8.3439,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,12.06,1012.72,0.0
gfx942,304,6,2048,4096,asm,0,1,15.3096,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,6.58,551.14,0.0
gfx942,304,6,1024,4096,asm,0,1,15.0346,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,3.35,281.43,0.0
gfx942,304,24,1536,4096,asm,0,1,13.1714,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,22.93,490.72,0.0
gfx942,304,24,8192,1024,asm,0,1,6.2494,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,64.43,1409.16,0.0
gfx942,304,24,4096,2048,asm,0,1,8.0747,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,49.87,1069.31,0.0
gfx942,304,48,4096,2048,asm,0,1,10.2589,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,78.5,865.6,0.0
gfx942,304,96,4096,2048,asm,0,1,11.1001,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,145.1,844.29,0.0
gfx942,304,72,4096,2048,asm,0,1,10.4634,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,115.45,872.17,0.0
gfx942,304,120,4096,2048,asm,0,1,10.8161,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,186.14,889.18,0.0
gfx942,304,64,4096,2048,asm,0,1,10.9525,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,98.04,825.74,0.0
gfx942,304,128,4096,2048,asm,0,1,10.8207,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,198.46,896.37,0.0
gfx942,304,172,4096,4096,asm,0,1,16.923,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,341.04,1116.28,0.0
gfx942,304,172,1536,4096,asm,0,1,16.4763,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,131.36,456.68,0.0
gfx942,304,172,8192,1024,asm,1,1,9.3682,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,308.03,1215.04,0.0
gfx942,304,756,4096,4096,asm,32,1,31.9125,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,794.9,816.83,0.0
gfx942,304,432,4096,4096,asm,8,1,20.3748,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,711.44,1083.97,0.0
gfx942,304,320,4096,4096,asm,8,1,19.388,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,553.82,1068.15,0.0
gfx942,304,4,1536,4096,asm,0,1,12.8388,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,3.92,492.27,0.0
gfx942,304,5,1536,4096,asm,1,1,13.0011,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,4.84,486.67,0.0
gfx942,304,8,1536,4096,asm,0,1,13.0809,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,7.7,485.35,0.0
gfx942,304,10,1536,4096,asm,0,1,12.3946,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,10.15,513.38,0.0
gfx942,304,18,1536,4096,asm,0,1,12.7777,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,17.73,502.48,0.0
gfx942,304,30,1536,4096,asm,0,1,13.3356,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,28.31,487.9,0.0
gfx942,304,4,4096,2048,asm,1,1,8.6157,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,7.79,978.4,0.0
gfx942,304,5,4096,2048,asm,0,1,7.5737,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,11.08,1114.36,0.0
gfx942,304,8,4096,2048,asm,0,1,7.7527,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,17.31,1092.59,0.0
gfx942,304,10,4096,2048,asm,0,1,8.2978,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,20.22,1023.28,0.0
gfx942,304,18,4096,2048,asm,0,1,8.5841,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,35.18,998.7,0.0
gfx942,304,30,4096,2048,asm,0,1,8.4473,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,59.58,1029.42,0.0
