gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,4,1536,4096,asm,0,1,12.8388,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,3.92,492.27,0.0
gfx942,304,5,1536,4096,asm,1,1,13.0011,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,4.84,486.67,0.0
gfx942,304,6,1536,4096,asm,0,1,12.2284,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,6.17,518.01,0.0
gfx942,304,8,1536,4096,asm,0,1,13.0809,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,7.7,485.35,0.0
gfx942,304,10,1536,4096,asm,0,1,12.3946,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,10.15,513.38,0.0
gfx942,304,18,1536,4096,asm,0,1,12.7777,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,17.73,502.48,0.0
gfx942,304,24,1536,4096,asm,0,1,13.1714,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,22.93,490.72,0.0
gfx942,304,30,1536,4096,asm,0,1,13.3356,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,28.31,487.9,0.0
gfx942,304,4,4096,2048,asm,1,1,8.6157,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,7.79,978.4,0.0
gfx942,304,5,4096,2048,asm,0,1,7.5737,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,11.08,1114.36,0.0
gfx942,304,6,4096,2048,asm,0,1,8.3439,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,12.06,1012.72,0.0
gfx942,304,8,4096,2048,asm,0,1,7.7527,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,17.31,1092.59,0.0
gfx942,304,10,4096,2048,asm,0,1,8.2978,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,20.22,1023.28,0.0
gfx942,304,18,4096,2048,asm,0,1,8.5841,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,35.18,998.7,0.0
gfx942,304,24,4096,2048,asm,0,1,8.0747,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,49.87,1069.31,0.0
gfx942,304,30,4096,2048,asm,0,1,8.4473,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,59.58,1029.42,0.0
gfx942,304,4,8192,1024,asm,1,1,6.4327,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,10.43,1314.88,0.0
gfx942,304,5,8192,1024,asm,0,1,5.7401,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,14.61,1476.57,0.0
gfx942,304,6,8192,1024,asm,1,1,6.2957,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,15.99,1349.02,0.0
gfx942,304,8,8192,1024,asm,0,1,6.2474,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,21.48,1365.03,0.0
gfx942,304,10,8192,1024,asm,0,1,6.3019,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,26.62,1358.75,0.0
gfx942,304,18,8192,1024,asm,0,1,6.0241,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,50.13,1444.52,0.0
gfx942,304,24,8192,1024,asm,0,1,6.2494,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,64.43,1409.16,0.0
gfx942,304,30,8192,1024,asm,0,1,6.5401,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,76.96,1362.49,0.0
