gfx,cu_num,M,N,K
gfx942,304,4,1536,4096
gfx942,304,4,8192,1024
gfx942,304,4,4096,2048
gfx942,304,5,1536,4096
gfx942,304,5,8192,1024
gfx942,304,5,4096,2048
gfx942,304,6,1536,4096
gfx942,304,6,8192,1024
gfx942,304,6,4096,2048
gfx942,304,8,1536,4096
gfx942,304,8,8192,1024
gfx942,304,8,4096,2048
gfx942,304,10,1536,4096
gfx942,304,10,8192,1024
gfx942,304,10,4096,2048
gfx942,304,18,1536,4096
gfx942,304,18,8192,1024
gfx942,304,18,4096,2048
gfx942,304,24,1536,4096
gfx942,304,24,8192,1024
gfx942,304,24,4096,2048
gfx942,304,30,1536,4096
gfx942,304,30,8192,1024
gfx942,304,30,4096,2048
